id;valor;data;posto
5818921;0.0;2023-12-31;72
5818920;0.0;2023-12-30;72
5817786;0.0;2023-12-29;72
5817355;0.0;2023-12-28;72
5816538;0.0;2023-12-27;72
5815892;0.0;2023-12-26;72
5815891;0.0;2023-12-25;72
5815890;0.0;2023-12-24;72
5814942;0.0;2023-12-23;72
5814454;3.0;2023-12-22;72
5813919;2.5;2023-12-21;72
5812461;14.0;2023-12-20;72
5811519;0.0;2023-12-19;72
5809202;2.0;2023-12-18;72
5809201;0.0;2023-12-17;72
5809200;0.0;2023-12-16;72
5808296;0.0;2023-12-15;72
5808295;0.0;2023-12-14;72
5806837;0.0;2023-12-13;72
5806081;0.0;2023-12-12;72
5805120;0.0;2023-12-11;72
5805119;0.0;2023-12-10;72
5805118;0.0;2023-12-09;72
5804095;0.0;2023-12-08;72
5803510;0.0;2023-12-07;72
5802544;0.0;2023-12-06;72
5801669;0.0;2023-12-05;72
5800921;0.0;2023-12-04;72
5800920;0.0;2023-12-03;72
5800919;0.0;2023-12-02;72
5800918;0.0;2023-12-01;72
5799471;0.0;2023-11-30;72
5797747;0.0;2023-11-29;72
5794274;1.5;2023-11-28;72
5794074;0.0;2023-11-27;72
5794073;0.0;2023-11-26;72
5794072;0.0;2023-11-25;72
5791245;0.0;2023-11-24;72
5791244;0.0;2023-11-23;72
5791243;0.0;2023-11-22;72
5791242;0.0;2023-11-21;72
5791241;0.0;2023-11-20;72
5791240;0.0;2023-11-19;72
5791239;0.0;2023-11-18;72
5791238;0.0;2023-11-17;72
5791237;0.0;2023-11-16;72
5791236;0.0;2023-11-15;72
5791235;0.0;2023-11-14;72
5791234;0.0;2023-11-13;72
5791233;0.0;2023-11-12;72
5791232;0.0;2023-11-11;72
5791231;0.0;2023-11-10;72
5791230;0.0;2023-11-09;72
5791229;0.0;2023-11-08;72
5791228;0.0;2023-11-07;72
5791227;0.0;2023-11-06;72
5791226;0.0;2023-11-05;72
5791225;0.0;2023-11-04;72
5791224;0.0;2023-11-03;72
5791223;0.0;2023-11-02;72
5791222;0.0;2023-11-01;72
5791221;0.0;2023-10-31;72
5791220;0.0;2023-10-30;72
5791219;0.0;2023-10-29;72
5791218;0.0;2023-10-28;72
5791217;0.0;2023-10-27;72
5791216;0.0;2023-10-26;72
5791215;0.0;2023-10-25;72
5791214;0.0;2023-10-24;72
5791213;0.0;2023-10-23;72
5791212;0.0;2023-10-22;72
5791211;0.0;2023-10-21;72
5791210;0.0;2023-10-20;72
5776883;0.0;2023-10-19;72
5776882;0.0;2023-10-18;72
5776881;0.0;2023-10-17;72
5774890;0.0;2023-10-16;72
5774889;0.0;2023-10-15;72
5774888;0.0;2023-10-14;72
5774887;0.0;2023-10-13;72
5774886;0.0;2023-10-12;72
5774885;0.0;2023-10-11;72
5772593;0.0;2023-10-10;72
5771992;0.0;2023-10-09;72
5771991;0.0;2023-10-08;72
5771990;0.0;2023-10-07;72
5771989;0.0;2023-10-06;72
5771988;0.0;2023-10-05;72
5771987;0.0;2023-10-04;72
5771986;0.0;2023-10-03;72
5767721;0.0;2023-10-02;72
5767720;0.0;2023-10-01;72
5767719;0.0;2023-09-30;72
5767718;0.0;2023-09-29;72
5767717;0.0;2023-09-28;72
5765006;0.0;2023-09-27;72
5765005;0.0;2023-09-26;72
5765004;0.0;2023-09-25;72
5765003;0.0;2023-09-24;72
5765002;0.0;2023-09-23;72
5765001;0.0;2023-09-22;72
5765000;0.0;2023-09-21;72
5764999;0.0;2023-09-20;72
5761247;0.0;2023-09-19;72
5760646;0.0;2023-09-18;72
5760645;0.0;2023-09-17;72
5760644;0.0;2023-09-16;72
5759742;0.0;2023-09-15;72
5759741;0.0;2023-09-14;72
5759740;0.0;2023-09-13;72
5757641;0.0;2023-09-12;72
5757640;0.0;2023-09-11;72
5757639;0.0;2023-09-10;72
5757638;0.0;2023-09-09;72
5757637;0.0;2023-09-08;72
5757636;0.0;2023-09-07;72
5757635;0.0;2023-09-06;72
5757634;0.0;2023-09-05;72
5757633;0.0;2023-09-04;72
5757632;0.0;2023-09-03;72
5757631;0.0;2023-09-02;72
5757630;0.0;2023-09-01;72
5752334;0.0;2023-08-31;72
5751536;0.0;2023-08-30;72
5750750;0.0;2023-08-29;72
5750749;0.0;2023-08-28;72
5750748;0.0;2023-08-27;72
5750747;0.0;2023-08-26;72
5749008;0.0;2023-08-25;72
5748163;0.0;2023-08-24;72
5748162;0.0;2023-08-23;72
5747226;0.0;2023-08-22;72
5746845;0.0;2023-08-21;72
5746844;0.0;2023-08-20;72
5746843;0.0;2023-08-19;72
5746551;0.0;2023-08-18;72
5746550;0.0;2023-08-17;72
5746549;0.0;2023-08-16;72
5746548;0.0;2023-08-15;72
5746547;0.0;2023-08-14;72
5746546;0.0;2023-08-13;72
5746545;0.0;2023-08-12;72
5746544;0.0;2023-08-11;72
5742386;0.0;2023-08-10;72
5742020;0.0;2023-08-09;72
5742019;0.0;2023-08-08;72
5742018;0.0;2023-08-07;72
5742017;0.0;2023-08-06;72
5742016;0.0;2023-08-05;72
5742015;0.0;2023-08-04;72
5739480;0.0;2023-08-03;72
5738987;0.0;2023-08-02;72
5738986;0.0;2023-08-01;72
5736632;0.0;2023-07-31;72
5736631;0.0;2023-07-30;72
5736630;0.0;2023-07-29;72
5735533;0.0;2023-07-28;72
5735109;0.0;2023-07-27;72
5733993;0.0;2023-07-26;72
5733564;0.0;2023-07-25;72
5732922;0.0;2023-07-24;72
5732921;0.0;2023-07-23;72
5732920;0.0;2023-07-22;72
5731886;0.0;2023-07-21;72
5731270;0.0;2023-07-20;72
5731269;0.0;2023-07-19;72
5731268;0.0;2023-07-18;72
5727731;0.0;2023-07-17;72
5727730;0.0;2023-07-16;72
5727729;0.0;2023-07-15;72
5726519;0.0;2023-07-14;72
5726104;0.0;2023-07-13;72
5725408;0.0;2023-07-12;72
5725407;0.0;2023-07-11;72
5723654;0.0;2023-07-10;72
5723512;0.0;2023-07-09;72
5723511;0.0;2023-07-08;72
5722888;8.0;2023-07-07;72
5721894;0.0;2023-07-06;72
5720978;0.0;2023-07-05;72
5720977;0.0;2023-07-04;72
5720976;0.0;2023-07-03;72
5720975;0.0;2023-07-02;72
5719516;0.0;2023-07-01;72
5719089;8.0;2023-06-30;72
5719088;0.0;2023-06-29;72
5717071;0.0;2023-06-28;72
5716351;4.0;2023-06-27;72
5716350;0.0;2023-06-26;72
5715222;0.0;2023-06-25;72
5715221;0.0;2023-06-24;72
5715220;0.0;2023-06-23;72
5715219;0.0;2023-06-22;72
5713632;0.0;2023-06-21;72
5713376;0.0;2023-06-20;72
5712719;5.0;2023-06-19;72
5712718;0.0;2023-06-18;72
5712717;0.0;2023-06-17;72
5711725;0.0;2023-06-16;72
5710500;10.0;2023-06-15;72
5710363;0.0;2023-06-14;72
5709432;0.0;2023-06-13;72
5709431;0.0;2023-06-12;72
5708158;0.0;2023-06-11;72
5708157;0.0;2023-06-10;72
5708156;0.0;2023-06-09;72
5707252;0.0;2023-06-08;72
5706491;0.0;2023-06-07;72
5705866;0.0;2023-06-06;72
5705865;0.0;2023-06-05;72
5705864;0.0;2023-06-04;72
5705863;0.0;2023-06-03;72
5704328;0.0;2023-06-02;72
5703828;23.0;2023-06-01;72
5702721;0.0;2023-05-31;72
5701813;0.0;2023-05-30;72
5701812;0.0;2023-05-29;72
5701811;0.0;2023-05-28;72
5700031;0.0;2023-05-27;72
5699608;0.0;2023-05-26;72
5699059;5.0;2023-05-25;72
5698604;0.0;2023-05-24;72
5697852;0.0;2023-05-23;72
5697371;0.0;2023-05-22;72
5697370;0.0;2023-05-21;72
5696771;32.0;2023-05-20;72
5696770;0.0;2023-05-19;72
5695647;0.0;2023-05-18;72
5695646;0.0;2023-05-17;72
5694594;0.0;2023-05-16;72
5693388;38.0;2023-05-15;72
5693387;0.0;2023-05-14;72
5692869;0.0;2023-05-13;72
5692868;0.0;2023-05-12;72
5692099;0.0;2023-05-11;72
5691193;0.0;2023-05-10;72
5691192;0.0;2023-05-09;72
5691191;0.0;2023-05-08;72
5691190;0.0;2023-05-07;72
5691189;0.0;2023-05-06;72
5691188;0.0;2023-05-05;72
5688124;0.0;2023-05-04;72
5687559;0.0;2023-05-03;72
5687019;0.0;2023-05-02;72
5687018;13.0;2023-05-01;72
5685457;0.0;2023-04-30;72
5684956;27.0;2023-04-29;72
5684955;0.0;2023-04-28;72
5684954;0.0;2023-04-27;72
5683212;0.0;2023-04-26;72
5683211;0.0;2023-04-25;72
5681913;0.0;2023-04-24;72
5681912;0.0;2023-04-23;72
5681911;0.0;2023-04-22;72
5681910;0.0;2023-04-21;72
5680597;0.0;2023-04-20;72
5680596;0.0;2023-04-19;72
5679474;0.0;2023-04-18;72
5678677;10.0;2023-04-17;72
5677963;15.0;2023-04-16;72
5677785;0.0;2023-04-15;72
5677374;0.0;2023-04-14;72
5676786;0.0;2023-04-13;72
5676448;0.0;2023-04-12;72
5675447;0.0;2023-04-11;72
5675446;0.0;2023-04-10;72
5673871;35.0;2023-04-09;72
5673493;48.0;2023-04-08;72
5673492;0.0;2023-04-07;72
5673194;0.0;2023-04-06;72
5672506;0.0;2023-04-05;72
5672013;0.0;2023-04-04;72
5670736;0.0;2023-04-03;72
5670474;38.0;2023-04-02;72
5670473;0.0;2023-04-01;72
5669041;15.0;2023-03-31;72
5668494;6.0;2023-03-30;72
5668299;0.0;2023-03-29;72
5667663;0.0;2023-03-28;72
5665693;57.0;2023-03-27;72
5665531;0.0;2023-03-26;72
5665311;0.0;2023-03-25;72
5664690;15.0;2023-03-24;72
5663553;0.0;2023-03-23;72
5663552;0.0;2023-03-22;72
5662169;0.0;2023-03-21;72
5661305;3.0;2023-03-20;72
5660676;38.0;2023-03-19;72
5660288;15.0;2023-03-18;72
5659414;30.0;2023-03-17;72
5659413;0.0;2023-03-16;72
5658049;16.0;2023-03-15;72
5657763;68.0;2023-03-14;72
5657762;0.0;2023-03-13;72
5657761;0.0;2023-03-12;72
5657760;0.0;2023-03-11;72
5655526;0.0;2023-03-10;72
5654858;0.0;2023-03-09;72
5653957;0.0;2023-03-08;72
5653956;0.0;2023-03-07;72
5653456;0.0;2023-03-06;72
5652975;0.0;2023-03-05;72
5652685;7.5;2023-03-04;72
5652366;0.0;2023-03-03;72
5651675;0.0;2023-03-02;72
5651674;0.0;2023-03-01;72
5650229;0.0;2023-02-28;72
5649434;0.0;2023-02-27;72
5650561;0.0;2023-02-26;72
5648732;0.0;2023-02-25;72
5647913;7.0;2023-02-24;72
5646325;12.0;2023-02-23;72
5646324;0.0;2023-02-22;72
5646323;0.0;2023-02-21;72
5645181;37.0;2023-02-20;72
5644709;0.0;2023-02-19;72
5644708;0.0;2023-02-18;72
5644147;0.0;2023-02-17;72
5643540;0.0;2023-02-16;72
5642905;11.0;2023-02-15;72
5642288;0.0;2023-02-14;72
5641553;0.0;2023-02-13;72
5641552;0.0;2023-02-12;72
5640744;0.0;2023-02-11;72
5640160;13.0;2023-02-10;72
5639755;0.0;2023-02-09;72
5639459;0.0;2023-02-08;72
5638586;10.0;2023-02-07;72
5638351;0.0;2023-02-06;72
5637418;0.0;2023-02-05;72
5637256;0.0;2023-02-04;72
5636603;0.0;2023-02-03;72
5636175;0.0;2023-02-02;72
5635603;0.0;2023-02-01;72
5634429;0.0;2023-01-31;72
5633927;0.0;2023-01-30;72
5633926;0.0;2023-01-29;72
5633925;0.0;2023-01-28;72
5632557;0.0;2023-01-27;72
5632068;0.0;2023-01-26;72
5630941;9.0;2023-01-25;72
5630282;28.0;2023-01-24;72
5629747;15.0;2023-01-23;72
5629746;0.0;2023-01-22;72
5629745;0.0;2023-01-21;72
5628479;18.0;2023-01-20;72
5626600;7.0;2023-01-19;72
5626599;0.0;2023-01-18;72
5625558;0.0;2023-01-17;72
5623782;0.0;2023-01-16;72
5623127;0.0;2023-01-15;72
5622541;0.0;2023-01-14;72
5622540;0.0;2023-01-13;72
5621345;0.0;2023-01-12;72
5621344;0.0;2023-01-11;72
5620433;0.0;2023-01-10;72
5619630;0.0;2023-01-09;72
5619629;0.0;2023-01-08;72
5619628;0.0;2023-01-07;72
5619627;0.0;2023-01-06;72
5617713;0.0;2023-01-05;72
5617332;0.0;2023-01-04;72
5616437;0.0;2023-01-03;72
5615633;0.0;2023-01-02;72
5615632;0.0;2023-01-01;72
5615094;0.0;2022-12-31;72
5614467;0.0;2022-12-30;72
5613890;0.0;2022-12-29;72
5613327;0.0;2022-12-28;72
5612408;0.0;2022-12-27;72
5611526;4.0;2022-12-26;72
5611525;0.0;2022-12-25;72
5611524;0.0;2022-12-24;72
5610083;0.0;2022-12-23;72
5609352;0.0;2022-12-22;72
5609351;0.0;2022-12-21;72
5608248;0.0;2022-12-20;72
5608247;0.0;2022-12-19;72
5606973;0.0;2022-12-18;72
5606972;0.0;2022-12-17;72
5606971;0.0;2022-12-16;72
5606970;0.0;2022-12-15;72
5606969;0.0;2022-12-14;72
5606968;0.0;2022-12-13;72
5603925;0.0;2022-12-12;72
5603924;0.0;2022-12-11;72
5603923;0.0;2022-12-10;72
5603922;0.0;2022-12-09;72
5603921;0.0;2022-12-08;72
5603920;0.0;2022-12-07;72
5601821;0.0;2022-12-06;72
5601820;0.0;2022-12-05;72
5601819;0.0;2022-12-04;72
5601818;0.0;2022-12-03;72
5599828;4.0;2022-12-02;72
5599361;0.0;2022-12-01;72
5597788;25.0;2022-11-30;72
5597553;0.0;2022-11-29;72
5597552;0.0;2022-11-28;72
5597551;0.0;2022-11-27;72
5597550;0.0;2022-11-26;72
5595635;0.0;2022-11-25;72
5595634;0.0;2022-11-24;72
5594380;0.0;2022-11-23;72
5593660;0.0;2022-11-22;72
5593659;0.0;2022-11-21;72
5593658;0.0;2022-11-20;72
5593657;0.0;2022-11-19;72
5593656;0.0;2022-11-18;72
5593655;0.0;2022-11-17;72
5593654;0.0;2022-11-16;72
5593653;0.0;2022-11-15;72
5593652;0.0;2022-11-14;72
5593651;0.0;2022-11-13;72
5593650;0.0;2022-11-12;72
5593649;0.0;2022-11-11;72
5593648;0.0;2022-11-10;72
5593647;0.0;2022-11-09;72
5593646;0.0;2022-11-08;72
5585650;78.0;2022-11-07;72
5585649;0.0;2022-11-06;72
5585648;25.0;2022-11-05;72
5585647;0.0;2022-11-04;72
5585646;0.0;2022-11-03;72
